,,,,,학점,,,시험,퀴즈,발표,프로젝트,과제물,참여도,기타,중간고사,기말고사,기타,강의실위치
434,한국어와한국문화:기초,11158,"이연정/

유지연/

김성기/

강수정",2,0,1.11E+15,1.11E+15,100,0,0,0,0,0,0,,,,
435,정보기술과미래사회,11160,"용환승/

최윤정/

민동보/

김영준/

박현석/

이민수/

도인실/

박상수/

반효경/

윤아람/

양대헌/

오유란/

이형준",1,3,,null,100,0,0,0,0,0,0,,,,
436,Contemporary Photography,11164,Thomas E. Webster,1,3,1344,1344,100,0,0,0,0,0,0,,,,
437,Topics in Multiethnic American Literature,11165,이수경,1,3,2353,2353,100,0,0,0,0,0,0,,,,
448,The Story of Human Language,11183,최혜원,1,3,2353,2353,100,0,0,0,0,0,0,,,,
449,문학으로함께배우는매체/이야기,11184,임석원,1,3,1344,1344,100,0,0,0,0,0,0,,,,
450,문화와예술을통해본르네상스역사,11185,남종국,1,3,,null,100,0,0,0,0,0,0,,,,
451,Evolutionary Origin of Humans,11186,김유섭,1,3,1243,1243,100,0,0,0,0,0,0,,,,
452,철학의은유들,11189,김애령,1,3,1635,1635,100,0,0,0,0,0,0,,,,
453,법과젠더,11193,장명선,1,3,2353,2353,100,0,0,0,0,0,0,,,,
454,스토리텔링과글쓰기,11202,박은경,1,2,2455,2455,100,0,0,0,0,0,0,,,,
455,글로벌비즈니스커뮤니케이션,11203,오선주,1,3,1213,1213,100,0,0,0,0,0,0,,,,
456,논리와컴퓨터,11204,최이선,1,3,1344,1344,100,0,0,0,0,0,0,,,,
457,컴퓨터과학적인식과문제해결,11205,이승현,1,3,1344,1344,60,0,0,15,25,0,0,210419,210617,,
458,프로그래밍과통계적사고,11207,송수민,1,3,2353,2353,70,0,0,0,20,10,0,210430,210604,,
459,IT융합설계개론,11208,김영균,1,3,1617,1617,50,0,0,10,40,0,0,210426,210621,,
460,IT융합설계개론,11208,김영균,2,3,2627,2627,50,0,0,10,40,0,0,210420,210615,,
461,시각적사고를통한일상의문화와트랜드,11209,박선욱,1,3,2425,2425,100,0,0,0,0,0,0,,,,
462,교육커뮤니케이션의이해와실제,11210,이은홍,1,3,1534,1534,100,0,0,0,0,0,0,,,기말프로젝트: 2021/06/18(금),
463,교육커뮤니케이션의이해와실제,11210,류수경,2,3,2353,2353,100,0,0,0,0,0,0,,,기말프로젝트: 2021/06/18(금),
464,컴퓨팅적사고와프로그래밍,11211,이선애,1,3,3757,3757,35,0,0,35,20,10,0,210421,,,
465,컴퓨팅적사고와프로그래밍,11211,이선애,2,3,3354,3354,35,0,0,35,20,10,0,210421,,,
466,글로벌커리어개발과기업가정신,11212,송민영,1,3,1344,1344,100,0,0,0,0,0,0,,,,
467,통합적분쟁이해와조정,11215,장원경,1,3,1243,1243,100,0,0,0,0,0,0,,,,
490,아시아문화공동체론,11226,심소희,1,1,43,43,100,0,0,0,0,0,0,,,,
505,컴퓨터적사고와이해,11232,이승현,1,3,1243,1243,60,0,0,15,25,0,0,210419,210617,기말과제: 2021/06/21(월),
506,음악테크놀로지와프로그래밍,11233,전현석,1,3,2353,2353,60,0,0,0,20,20,0,210420,210615,,
507,컴퓨터적사고와조형적활용,11234,"이보람/

양재희",1,3,1617,1617,40,0,0,0,40,20,0,210426,,,
510,드로잉의기초와응용,11244,정혜진,1,3,1344,1344,0,0,0,0,80,10,10,,,,
511,Designing with Korean paintings,11245,정혜진,1,3,1617,1617,0,0,0,0,80,10,10,,,,
512,Designing with Korean paintings,11245,정혜진,2,3,4647,4647,0,0,0,0,80,10,10,,,,
513,Introduction to Oriental Paintings;Basic and Applications of Drawing,11247,이지은,1,3,2425,2425,100,0,0,0,0,0,0,,,,
514,나눔의인간학,11253,이지애,1,2,1736,1736,100,0,0,0,0,0,0,,,,
515,관계의미학:사랑과윤리,11254,이숙진,1,2,2455,2455,100,0,0,0,0,0,0,,,,
516,에피소드로보는과학철학,11257,이정,1,3,1243,1243,100,0,0,0,0,0,0,,,,
517,기업가정신과혁신,11260,고유미,1,3,,null,100,0,0,0,0,0,0,,,,
518,생활속의미생물,11262,최원자,1,3,3354,3354,100,0,0,0,0,0,0,,,,
519,예술과기술,11263,김남시,1,3,1445,1445,100,0,0,0,0,0,0,,,,
520,세계의자연유산과지오투어리즘,11264,이원영,1,3,3233,3233,50,0,10,10,20,10,0,210421,210616,,
521,음악과건강,11265,유가을,1,3,2455,2455,100,0,0,0,0,0,0,,,,
522,위기관리학,11268,김인우,1,3,31325152,31325152,100,0,0,0,0,0,0,,,,
523,조직리더십,11270,황상근,1,3,31325152,31325152,100,0,0,0,0,0,0,,,,
524,국가안보론,11272,박진호,1,3,1344,1344,100,0,0,0,0,0,0,,,,
525,리더십,11273,정해원,1,3,1635,1635,100,0,0,0,0,0,0,,,,
526,전쟁사,11274,박진호,1,3,3354,3354,100,0,0,0,0,0,0,,,,
527,북한학,11275,정해원,1,3,1534,1534,100,0,0,0,0,0,0,,,,
528,무기체계론,11276,박진호,1,3,1445,1445,100,0,0,0,0,0,0,,,,
529,스크린에투영된테크노컬처와젠더,11284,이수안,1,3,1445,1445,100,0,0,0,0,0,0,,,,
530,모방과인간,11292,최성만,1,3,2455,2455,100,0,0,0,0,0,0,,,,
531,인물로본중국의역사,11293,최해별,1,3,2353,2353,100,0,0,0,0,0,0,,,,
532,질병과치료로본서양사,11294,이현주,1,3,1243,1243,100,0,0,0,0,0,0,,,,
533,인공지능시대의과학과종교,11295,최순양,1,3,2353,2353,100,0,0,0,0,0,0,,,,
534,청춘의아픔과치유:행복인문학,11296,박희규,1,3,1635,1635,100,0,0,0,0,0,0,,,,
535,생태와문학,11297,송태현,1,3,2455,2455,80,0,0,0,10,10,0,210413,210611,,
577,사회과학탐구,11304,"김경희/

조정래/

박민정/

임소혜/

김민지/

조영민/

Eunice Eun-Sil Kim(김은실)/

최혜경/

김인한/

김지현",1,3,5354,5354,100,0,0,0,0,0,0,,,,
578,창의융합형글로벌리더로가는길,11307,"남양희/

Kyong-Mi D. Kwon (권경미)/

곽진경/

최형석/

조혜정/

채상미/

최문섭/

김명준/

윤창상/

윤혜정/

고광석/

최남경/

유성진/

한평림/

박인휘/

박소라/

최승호",1,3,3637,3637,100,0,0,0,0,0,0,,,,
579,문제해결과SW프로그래밍,11309,양숙희,1,3,1344,1344,30,30,0,0,20,20,0,,210614,,
580,문제해결과SW프로그래밍,11309,양재희,2,3,2546,2546,100,0,0,0,0,0,0,,,,
581,Literary Themes in Films,11310,민혜숙,1,3,1445,1445,100,0,0,0,0,0,0,,,,캠B144
582,(유학생을위한)보고서와논문쓰기,11311,유지연,1,3,4647,4647,100,0,0,0,0,0,0,,,,
583,(유학생을위한)보고서와논문쓰기,11313,유지연,1,0,4647,4647,100,0,0,0,0,0,0,,,,
584,미술로치유하는마음,11328,한경아,1,3,2425,2425,100,0,0,0,0,0,0,,,,
585,Reading American Popular Culture in the Digital Age,11330,김윤지,1,3,3354,3354,100,0,0,0,0,0,0,,,,
